觀測時間(day),測站氣壓(hPa),測站最高氣壓(hPa),測站最高氣壓時間(LST),測站最低氣壓(hPa),測站最低氣壓時間(LST),氣溫(℃),最高氣溫(℃),最高氣溫時間(LST),最低氣溫(℃),最低氣溫時間(LST),相對溼度(%),最小相對溼度(%),最小相對溼度時間(LST),風速(m/s),風向(360degree),最大瞬間風(m/s),最大瞬間風風向(360degree),最大瞬間風風速時間(LST),降水量(mm)
2,994.2,996.2,2022/02/02 0:01:00,992.5,2022/02/02 15:01:00,14.9,16.2,2022/02/02 11:11:00,13.6,2022/02/02 1:11:00,100,99,2022/02/02 1:21:00,0.8,224,7.1,341,2022/02/02 0:25:00,67
3,992.4,993.7,2022/02/03 9:41:00,990.9,2022/02/03 14:27:00,14.3,15.3,2022/02/03 0:05:00,13.7,2022/02/03 16:41:00,100,99,2022/02/03 1:41:00,1.3,5,7.7,316,2022/02/03 21:23:00,108.5
4,995.7,998.7,2022/02/04 23:31:00,992.3,2022/02/04 2:22:00,12.3,14,2022/02/04 0:51:00,10.9,2022/02/04 23:41:00,100,99,2022/02/04 6:31:00,1.5,319,6.6,277,2022/02/04 2:38:00,100.5
5,999,1000.4,2022/02/05 20:42:00,997.8,2022/02/05 1:52:00,11.6,12.5,2022/02/05 21:56:00,10.6,2022/02/05 2:53:00,96,84,2022/02/05 16:53:00,1,5,8.2,45,2022/02/05 22:26:00,15
6,998.8,1001.7,2022/02/06 9:11:00,996,2022/02/06 23:53:00,11.8,13.3,2022/02/06 23:53:00,10.6,2022/02/06 10:25:00,99,88,2022/02/06 0:55:00,1.4,118,8.2,127,2022/02/06 16:53:00,18
7,991.7,996.4,2022/02/07 0:01:00,985.2,2022/02/07 14:31:00,15.3,20.4,2022/02/07 15:22:00,12.1,2022/02/07 17:36:00,97,73,2022/02/07 16:27:00,1.6,329,12.1,328,2022/02/07 17:09:00,13.5
8,995.1,997.3,2022/02/08 8:58:00,992.9,2022/02/08 0:02:00,13.5,14.8,2022/02/08 0:02:00,12.1,2022/02/08 7:11:00,95,83,2022/02/08 18:51:00,1.3,325,7.7,332,2022/02/08 3:43:00,2
9,993.6,996.3,2022/02/09 9:33:00,991.6,2022/02/09 14:21:00,14.3,15.5,2022/02/09 22:42:00,13.3,2022/02/09 2:11:00,100,99,2022/02/09 21:01:00,0.8,14,6.6,135,2022/02/09 3:36:00,31
10,993.3,995.6,2022/02/10 9:31:00,991.9,2022/02/10 15:15:00,14.9,15.4,2022/02/10 0:06:00,14.4,2022/02/10 7:02:00,100,99,2022/02/10 8:11:00,1.2,308,6.6,118,2022/02/10 22:10:00,27.5
11,991.4,993.7,2022/02/11 9:22:00,989.8,2022/02/11 15:15:00,17.7,21.8,2022/02/11 11:12:00,14.9,2022/02/11 0:01:00,99,87,2022/02/11 11:21:00,0.8,108,6.6,117,2022/02/11 12:18:00,0.5
12,990.8,992.7,2022/02/12 9:16:00,989.2,2022/02/12 2:33:00,16.2,17.6,2022/02/12 0:01:00,15.2,2022/02/12 15:21:00,99,99,2022/02/12 5:41:00,1.2,327,6.6,322,2022/02/12 14:04:00,10.5
13,989.4,991.5,2022/02/13 23:16:00,987.3,2022/02/13 13:31:00,15.6,16.7,2022/02/13 10:12:00,13.2,2022/02/13 23:44:00,99,99,2022/02/13 4:41:00,0.9,177,8.2,325,2022/02/13 23:25:00,32
14,992.8,994.9,2022/02/14 10:11:00,990.4,2022/02/14 3:53:00,13.1,14.8,2022/02/14 21:31:00,11.7,2022/02/14 11:11:00,92,68,2022/02/14 23:11:00,1.6,324,8.2,330,2022/02/14 7:48:00,54
15,992.7,994.8,2022/02/15 8:31:00,990.5,2022/02/15 14:31:00,14.2,15.4,2022/02/15 10:44:00,13.3,2022/02/15 17:21:00,87,65,2022/02/15 1:44:00,1,112,8.2,106,2022/02/15 6:31:00,19
16,992,--,--,--,--,13.9,--,--,--,--,100,--,--,0.4,1,--,--,--,3
17,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,&
18,989.4,993.4,2022/02/18 6:12:00,988,2022/02/18 15:31:00,16.1,16.9,2022/02/18 21:01:00,13.2,2022/02/18 5:25:00,99,99,2022/02/18 23:11:00,0.9,26,11,345,2022/02/18 5:59:00,171.5
19,991.3,--,--,--,--,15.1,--,--,--,--,100,--,--,1.4,1,--,--,--,104.5
20,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,58
21,997.3,999.1,2022/02/21 22:51:00,995.7,2022/02/21 14:55:00,13.2,13.9,2022/02/21 20:17:00,12.1,2022/02/21 0:01:00,100,99,2022/02/21 14:41:00,2,122,8.8,138,2022/02/21 18:19:00,92
22,997.5,999.5,2022/02/22 9:33:00,995.8,2022/02/22 15:12:00,13,13.6,2022/02/22 10:43:00,12.2,2022/02/22 23:41:00,100,99,2022/02/22 8:41:00,1.7,126,11,64,2022/02/22 19:38:00,102.5
23,999.3,1001.7,2022/02/23 8:54:00,995.9,2022/02/23 3:06:00,11.1,12.4,2022/02/23 0:04:00,10.4,2022/02/23 19:31:00,100,99,2022/02/23 14:51:00,1.7,12,9.9,54,2022/02/23 14:04:00,89.5
24,1000.9,1002.6,2022/02/24 8:51:00,998.7,2022/02/24 14:21:00,11.1,12.3,2022/02/24 12:41:00,10.2,2022/02/24 3:11:00,96,82,2022/02/24 12:24:00,1.1,15,9.3,3,2022/02/24 0:08:00,14
25,997.9,1000.7,2022/02/25 0:01:00,995.7,2022/02/25 15:20:00,14,15.7,2022/02/25 21:01:00,11.4,2022/02/25 0:11:00,97,80,2022/02/25 1:31:00,0.6,149,7.1,30,2022/02/25 15:59:00,55.5
26,995.1,997.5,2022/02/26 9:01:00,993,2022/02/26 15:21:00,16,19.2,2022/02/26 10:41:00,12.9,2022/02/26 13:17:00,98,88,2022/02/26 11:14:00,1,284,6,333,2022/02/26 11:06:00,0
27,995.2,997.8,2022/02/27 9:01:00,993.4,2022/02/27 15:51:00,16.5,18.2,2022/02/27 13:23:00,14.8,2022/02/27 0:01:00,80,53,2022/02/27 14:53:00,1,104,6.6,130,2022/02/27 16:38:00,0
28,992.5,995.4,2022/02/28 8:51:00,990.2,2022/02/28 16:21:00,18.2,24,2022/02/28 12:35:00,13.7,2022/02/28 5:41:00,83,56,2022/02/28 12:44:00,0.6,310,4.9,119,2022/02/28 10:55:00,0
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
1,991.2,993.1,2022/03/01 9:31:00,989.3,2022/03/01 14:31:00,20.6,26.2,2022/03/01 12:21:00,15.3,2022/03/01 1:01:00,80,49,2022/03/01 11:23:00,0.8,115,6.6,233,2022/03/01 11:53:00,0
2,993.4,995.6,2022/03/02 9:51:00,991.4,2022/03/02 4:11:00,16.7,19.4,2022/03/02 0:42:00,15.2,2022/03/02 23:41:00,99,95,2022/03/02 17:55:00,0.7,147,7.7,103,2022/03/02 21:01:00,4
3,991.5,994.6,2022/03/03 8:41:00,988.7,2022/03/03 15:19:00,17.7,21.1,2022/03/03 13:03:00,15.1,2022/03/03 0:11:00,97,84,2022/03/03 13:03:00,1,151,6,148,2022/03/03 2:05:00,0
4,988,989.9,2022/03/04 8:51:00,985.9,2022/03/04 14:31:00,19.8,24.9,2022/03/04 12:27:00,15.8,2022/03/04 3:22:00,82,47,2022/03/04 11:41:00,1.1,315,11.5,301,2022/03/04 11:50:00,0
5,989.6,992.6,2022/03/05 21:31:00,987.1,2022/03/05 3:26:00,18.4,20.3,2022/03/05 13:33:00,16,2022/03/05 23:24:00,88,68,2022/03/05 22:32:00,0.8,158,6.6,92,2022/03/05 21:43:00,0
6,991.6,994,2022/03/06 9:01:00,989.6,2022/03/06 16:10:00,16,17.5,2022/03/06 4:31:00,14.6,2022/03/06 19:50:00,91,61,2022/03/06 1:41:00,1.3,125,7.7,128,2022/03/06 11:04:00,13.5
7,991.1,994.5,2022/03/07 20:11:00,987.6,2022/03/07 4:43:00,12.7,15.4,2022/03/07 1:03:00,9.7,2022/03/07 18:37:00,98,89,2022/03/07 23:53:00,1.5,325,10.4,320,2022/03/07 15:45:00,97.5
8,992.6,994.6,2022/03/08 8:41:00,991.2,2022/03/08 14:43:00,14.5,18.1,2022/03/08 13:02:00,10.6,2022/03/08 6:21:00,62,42,2022/03/08 13:32:00,1.5,311,8.2,154,2022/03/08 12:42:00,0
9,991.6,993.7,2022/03/09 10:13:00,990.2,2022/03/09 15:31:00,17.7,21.5,2022/03/09 15:01:00,11.1,2022/03/09 5:41:00,69,51,2022/03/09 10:05:00,1.9,130,10.4,142,2022/03/09 20:15:00,0
10,990.2,992.1,2022/03/10 8:42:00,988.6,2022/03/10 16:01:00,18.3,22.7,2022/03/10 11:22:00,15.3,2022/03/10 20:03:00,77,45,2022/03/10 11:22:00,0.9,139,6,156,2022/03/10 0:13:00,0
11,988.7,990.5,2022/03/11 8:23:00,987.4,2022/03/11 3:41:00,17.8,23.7,2022/03/11 12:51:00,12.8,2022/03/11 6:02:00,83,47,2022/03/11 13:24:00,0.8,136,4.9,313,2022/03/11 12:11:00,0
12,987.5,989.2,2022/03/12 9:19:00,985.8,2022/03/12 14:21:00,21.3,26.5,2022/03/12 11:27:00,17.4,2022/03/12 4:54:00,74,45,2022/03/12 11:22:00,1.1,81,7.7,113,2022/03/12 9:34:00,0
13,987.2,989,2022/03/13 7:33:00,985.4,2022/03/13 14:11:00,19.9,25.4,2022/03/13 13:01:00,16.1,2022/03/13 6:14:00,80,50,2022/03/13 12:31:00,0.6,128,4.9,139,2022/03/13 11:08:00,0
14,986.6,988.5,2022/03/14 8:31:00,985.4,2022/03/14 18:41:00,21.2,27,2022/03/14 12:11:00,16.6,2022/03/14 23:13:00,68,40,2022/03/14 11:44:00,1,327,6,5,2022/03/14 11:14:00,0
15,986.3,987.7,2022/03/15 8:31:00,984.8,2022/03/15 2:51:00,20.3,25.2,2022/03/15 7:34:00,16.4,2022/03/15 2:21:00,86,60,2022/03/15 11:21:00,1.1,315,6,103,2022/03/15 12:19:00,0
16,985.8,987.7,2022/03/16 8:26:00,983.8,2022/03/16 14:23:00,21.6,25.6,2022/03/16 12:02:00,18.8,2022/03/16 4:01:00,86,64,2022/03/16 12:41:00,0.9,91,6.6,128,2022/03/16 10:58:00,0
17,983.2,985.9,2022/03/17 9:11:00,981,2022/03/17 23:51:00,21.6,25.3,2022/03/17 11:41:00,18.7,2022/03/17 5:31:00,90,66,2022/03/17 22:42:00,0.8,64,8.2,242,2022/03/17 21:54:00,1.5
18,983.8,986.5,2022/03/18 10:32:00,980.2,2022/03/18 2:31:00,17.8,23.6,2022/03/18 0:01:00,14.6,2022/03/18 18:47:00,90,74,2022/03/18 15:51:00,1.4,303,9.9,10,2022/03/18 1:53:00,0.5
19,986,988.4,2022/03/19 23:31:00,984.1,2022/03/19 5:51:00,18.2,22.9,2022/03/19 11:53:00,14,2022/03/19 5:31:00,91,63,2022/03/19 11:53:00,0.9,51,7.7,142,2022/03/19 23:18:00,12.5
20,988.1,990.2,2022/03/20 7:41:00,985.7,2022/03/20 15:11:00,20.6,25.7,2022/03/20 16:41:00,18,2022/03/20 1:34:00,91,68,2022/03/20 12:01:00,1.3,132,7.7,100,2022/03/20 12:10:00,0.5
21,988,990.4,2022/03/21 10:04:00,985.9,2022/03/21 16:41:00,18,20.4,2022/03/21 10:44:00,16.2,2022/03/21 19:45:00,99,99,2022/03/21 22:41:00,0.9,327,7.1,324,2022/03/21 23:57:00,1
22,989.9,992.4,2022/03/22 8:39:00,986.6,2022/03/22 0:01:00,14.9,19.4,2022/03/22 0:02:00,13.5,2022/03/22 5:51:00,99,99,2022/03/22 20:51:00,1,336,8.2,335,2022/03/22 2:28:00,34.5
23,990.8,993.1,2022/03/23 21:41:00,987.4,2022/03/23 2:34:00,12.6,15,2022/03/23 0:02:00,11.7,2022/03/23 15:41:00,100,99,2022/03/23 5:31:00,1,6,7.1,325,2022/03/23 3:31:00,52
24,990.3,992.6,2022/03/24 8:01:00,988.4,2022/03/24 23:52:00,16.8,19.7,2022/03/24 13:53:00,12.4,2022/03/24 0:11:00,96,87,2022/03/24 13:12:00,1.2,129,6.6,209,2022/03/24 9:40:00,1.5
25,985.5,988.5,2022/03/25 0:01:00,983.3,2022/03/25 14:32:00,21,25.5,2022/03/25 12:11:00,17.9,2022/03/25 4:38:00,94,68,2022/03/25 9:53:00,0.7,141,6,197,2022/03/25 9:53:00,2
26,985.4,990.7,2022/03/26 23:47:00,982.1,2022/03/26 3:47:00,22.6,29.1,2022/03/26 11:32:00,14.6,2022/03/26 23:51:00,79,43,2022/03/26 3:02:00,1.4,221,11.5,174,2022/03/26 7:39:00,36
27,991,993.5,2022/03/27 21:35:00,987.6,2022/03/27 2:28:00,14,15.2,2022/03/28 0:00:00,12.7,2022/03/27 21:21:00,98,80,2022/03/28 0:00:00,0.8,1,7.7,124,2022/03/27 16:54:00,44.5
28,994.2,996.8,2022/03/28 22:04:00,992.1,2022/03/28 2:53:00,14.5,16.4,2022/03/28 23:25:00,13.2,2022/03/28 3:51:00,98,70,2022/03/28 0:52:00,1.2,30,7.7,112,2022/03/28 9:56:00,81
29,992.6,995.8,2022/03/29 0:31:00,990.3,2022/03/29 15:31:00,18.8,21.5,2022/03/29 23:21:00,16.2,2022/03/29 0:01:00,98,86,2022/03/29 21:34:00,1.7,118,7.1,120,2022/03/29 14:47:00,15
30,991,992.9,2022/03/30 12:11:00,988.7,2022/03/30 16:51:00,21,28,2022/03/30 9:34:00,18.4,2022/03/30 22:12:00,95,40,2022/03/30 9:51:00,1,115,9.3,323,2022/03/30 12:11:00,0
31,993.4,998.6,2022/03/31 23:52:00,990.3,2022/03/31 3:41:00,17.5,19.7,2022/03/31 8:01:00,13.5,2022/03/31 23:57:00,99,99,2022/03/31 3:41:00,1,141,7.7,322,2022/03/31 17:11:00,41
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
1,998.6,1000.7,2022/04/01 21:23:00,997,2022/04/01 3:41:00,13.5,14.9,2022/04/01 5:04:00,11.8,2022/04/01 18:52:00,91,75,2022/04/01 23:52:00,1.6,3,9.3,316,2022/04/01 2:08:00,5.5
2,998,999.7,2022/04/02 9:42:00,995.8,2022/04/02 15:56:00,12.3,13.6,2022/04/02 0:26:00,11.4,2022/04/02 19:31:00,98,74,2022/04/02 0:01:00,1.5,9,9.9,332,2022/04/02 11:28:00,73.5
3,998.3,999.9,2022/04/03 21:28:00,996.7,2022/04/03 3:01:00,13.9,15.6,2022/04/03 12:41:00,11.3,2022/04/03 3:41:00,80,66,2022/04/03 21:51:00,1.4,20,8.8,46,2022/04/03 13:53:00,11.5
4,997.9,999.5,2022/04/04 8:12:00,996.5,2022/04/04 23:51:00,16.6,18,2022/04/04 23:43:00,14.7,2022/04/04 0:01:00,74,64,2022/04/04 2:58:00,1.2,112,7.1,132,2022/04/04 5:30:00,0
5,993.9,996.8,2022/04/05 0:01:00,991.2,2022/04/05 15:41:00,19.5,23.1,2022/04/05 13:03:00,16.2,2022/04/05 22:41:00,76,56,2022/04/05 13:12:00,1.1,97,6.6,124,2022/04/05 11:54:00,0
6,992,993.5,2022/04/06 8:51:00,990.4,2022/04/06 2:51:00,18.2,23.3,2022/04/06 9:41:00,14,2022/04/06 4:11:00,88,62,2022/04/06 7:52:00,0.8,58,7.7,62,2022/04/06 13:33:00,0
7,991.8,993.5,2022/04/07 10:06:00,990.3,2022/04/07 2:51:00,18.4,21.6,2022/04/07 14:01:00,15.4,2022/04/07 4:41:00,92,73,2022/04/07 14:01:00,0.7,9,7.1,43,2022/04/07 9:15:00,0
8,990.7,992.4,2022/04/08 0:02:00,989.1,2022/04/08 15:21:00,19,22.6,2022/04/08 11:05:00,17.2,2022/04/08 13:31:00,84,63,2022/04/08 10:42:00,1.8,143,9.9,129,2022/04/08 12:33:00,0
9,988.2,989.7,2022/04/09 0:02:00,986.6,2022/04/09 14:51:00,21,24.6,2022/04/09 13:41:00,18.2,2022/04/09 3:54:00,74,57,2022/04/09 9:37:00,1.7,142,7.7,174,2022/04/09 8:49:00,0
10,986.6,988.2,2022/04/10 10:14:00,985.2,2022/04/10 15:31:00,21.9,26.6,2022/04/10 10:01:00,16.9,2022/04/10 4:08:00,80,51,2022/04/10 10:52:00,0.8,125,4.9,322,2022/04/10 11:05:00,0
11,985.2,987.4,2022/04/11 9:26:00,983.6,2022/04/11 15:09:00,22.4,27.6,2022/04/11 13:11:00,19.1,2022/04/11 5:51:00,87,56,2022/04/11 12:18:00,0.6,148,6,155,2022/04/11 1:16:00,0
12,983.3,985.3,2022/04/12 8:49:00,981.6,2022/04/12 15:31:00,22.3,26.7,2022/04/12 10:46:00,18.5,2022/04/12 5:31:00,91,69,2022/04/12 10:51:00,0.5,308,4.1,119,2022/04/12 10:30:00,0
13,981.3,982.7,2022/04/13 0:12:00,979.4,2022/04/13 15:03:00,22.3,26.9,2022/04/13 12:31:00,19.4,2022/04/13 6:01:00,91,64,2022/04/13 12:31:00,0.7,103,6,4,2022/04/13 14:16:00,0
14,984.1,988.8,2022/04/14 22:51:00,979.8,2022/04/14 3:01:00,19.6,22.6,2022/04/14 3:12:00,16.8,2022/04/14 23:51:00,93,83,2022/04/14 11:45:00,1,284,12.1,351,2022/04/14 7:17:00,24.5
15,989.1,992,2022/04/15 21:52:00,987.1,2022/04/15 3:21:00,16,17,2022/04/15 0:01:00,14.9,2022/04/15 22:17:00,99,84,2022/04/15 23:51:00,1.6,336,7.7,9,2022/04/15 11:23:00,40
16,990.8,993.4,2022/04/16 21:41:00,989.1,2022/04/16 13:51:00,16.2,17.2,2022/04/16 11:26:00,15.1,2022/04/16 23:41:00,73,63,2022/04/16 16:03:00,1.4,3,6.6,22,2022/04/16 1:21:00,0
17,991.5,993,2022/04/17 8:51:00,990.2,2022/04/17 3:21:00,15.6,17.2,2022/04/17 11:01:00,13.6,2022/04/17 3:55:00,92,73,2022/04/17 1:04:00,0.3,105,4.9,120,2022/04/17 0:15:00,1
18,991.6,993.7,2022/04/18 21:41:00,989.8,2022/04/18 2:01:00,16.6,18.3,2022/04/18 8:55:00,15.1,2022/04/18 20:43:00,97,88,2022/04/18 10:04:00,0.4,157,4.1,300,2022/04/18 10:19:00,0
19,992.8,994.1,2022/04/19 21:33:00,991.5,2022/04/19 3:21:00,15,17.5,2022/04/19 11:31:00,13.3,2022/04/19 20:11:00,92,65,2022/04/19 23:13:00,0.4,1,5.5,183,2022/04/19 22:08:00,3
20,989.8,992.7,2022/04/20 0:01:00,987.6,2022/04/20 16:55:00,17.2,20.1,2022/04/20 14:12:00,14.2,2022/04/20 7:05:00,90,61,2022/04/20 0:41:00,1.2,173,7.7,175,2022/04/20 7:57:00,3.5
21,988,990.1,2022/04/21 10:31:00,986,2022/04/21 16:01:00,19.5,24.9,2022/04/21 15:11:00,17.3,2022/04/21 6:41:00,97,80,2022/04/21 15:21:00,0.6,131,5.5,307,2022/04/21 6:47:00,1
22,987.3,989.1,2022/04/22 8:37:00,985.5,2022/04/22 17:31:00,23,27.6,2022/04/22 12:02:00,19.1,2022/04/22 0:31:00,87,62,2022/04/22 12:02:00,0.7,130,3.5,136,2022/04/22 9:58:00,0
